Aerolínea,Numero_Vuelo,Ciudad_Conexion,Hora_Estimada,Fecha_Vuelo,Tipo_de_Vuelo,Estado,Tipo_movimiento,Pagina_Fuente
info/aeronautica_civil/media/1756584170_wingo.jpg,7251,Bogotá,07:29 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486629_avianca.jpg,8596,Bogotá,07:55 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486723_latam.jpg,4064,Bogotá,08:00 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486748_clic.jpg,6988,Pasto,08:20 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5303,Bogotá,08:21 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486757_aeromexico-new.png,755,Ciudad de México,08:25 AM,2026-05-09 07:44,Internacional,,Salida,1
info/aeronautica_civil/media/1756486629_avianca.jpg,8416,Bogotá,08:25 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486682_copa_arilines.jpg,842,Panama City,08:46 AM,2026-05-09 07:44,Internacional,,Salida,1
info/aeronautica_civil/media/1756486748_clic.jpg,7794,Tumaco,08:50 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486723_latam.jpg,4066,Bogotá,08:50 AM,2026-05-09 07:44,Nacional,,Salida,1
info/aeronautica_civil/media/1756486644_satena.png,8652,Guapi,09:15 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486629_avianca.jpg,9712,Bogotá,09:45 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486629_avianca.jpg,8422,Bogotá,10:15 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5592,San Andrés,10:18 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486723_latam.jpg,4070,Bogotá,10:45 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5588,Santa Marta,10:49 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486748_clic.jpg,6908,Guapi,10:50 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486629_avianca.jpg,8522,Bogotá,11:10 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486644_satena.png,6544,Bahía Solano,11:15 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486748_clic.jpg,6916,Medellín (Olaya Herrera),11:40 AM,2026-05-09 07:44,Nacional,,Salida,2
info/aeronautica_civil/media/1756486644_satena.png,7747,Pitalito,11:45 AM,2026-05-09 07:44,Nacional,,Salida,3
info/aeronautica_civil/media/1756486682_copa_arilines.jpg,308,Panama City,12:06 PM,2026-05-09 07:44,Internacional,,Salida,3
info/aeronautica_civil/media/1756486644_satena.png,6548,Nuquí,12:10 PM,2026-05-09 07:44,Nacional,,Salida,3
info/aeronautica_civil/media/1756486629_avianca.jpg,9726,Bogotá,12:50 PM,2026-05-09 07:44,Nacional,,Salida,3
info/aeronautica_civil/media/1756486629_avianca.jpg,9204,Bogotá,01:10 PM,2026-05-09 07:44,Nacional,,Salida,3
info/aeronautica_civil/media/1756486723_latam.jpg,4072,Bogotá,01:30 PM,2026-05-09 07:44,Nacional,,Salida,3
info/aeronautica_civil/media/1756486629_avianca.jpg,9228,Bogotá,02:00 PM,2026-05-09 07:44,Nacional,,Salida,3
info/aeronautica_civil/media/info/aeronautica_civil/mod/Aerolineas/img/aerolineaDefecto.png,811,,02:08 PM,2026-05-09 07:44,Internacional,,Salida,3
info/aeronautica_civil/media/1756486748_clic.jpg,7772,Villavicencio,02:10 PM,2026-05-09 07:44,Nacional,,Salida,3
info/aeronautica_civil/media/1756486663_american.jpg,920,Miami,02:15 PM,2026-05-09 07:44,Internacional,,Salida,3
info/aeronautica_civil/media/1756486644_satena.png,8772,Florencia,02:15 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486723_latam.jpg,4074,Bogotá,02:35 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486629_avianca.jpg,9464,Medellín,02:45 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486629_avianca.jpg,9295,Pasto,02:55 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486682_copa_arilines.jpg,247,Panama City,03:10 PM,2026-05-09 07:44,Internacional,,Salida,4
info/aeronautica_civil/media/1756584170_wingo.jpg,7257,Bogotá,03:19 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5565,Medellín,04:00 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486644_satena.png,8820,Tumaco,04:10 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486629_avianca.jpg,9824,Bogotá,04:30 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486763_jetsmart.jpg,5309,Bogotá,05:06 PM,2026-05-09 07:44,Nacional,,Salida,4
info/aeronautica_civil/media/1756486723_latam.jpg,4078,Bogotá,05:20 PM,2026-05-09 07:44,Nacional,,Salida,5
info/aeronautica_civil/media/1756486629_avianca.jpg,9220,Bogotá,06:15 PM,2026-05-09 07:44,Nacional,,Salida,5
info/aeronautica_civil/media/1756486629_avianca.jpg,9566,Bogotá,06:30 PM,2026-05-09 07:44,Nacional,,Salida,5
info/aeronautica_civil/media/1756584170_wingo.jpg,7261,Bogotá,06:39 PM,2026-05-09 07:44,Nacional,,Salida,5
info/aeronautica_civil/media/1756486629_avianca.jpg,9500,Cartagena,07:25 PM,2026-05-09 07:44,Nacional,,Salida,5
